what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1286907259330
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1286907259330
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286907259330
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286907259330
java.vm.specification.version,sysinfo,,,"1.0",1286907259330
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1286907259330
java.vm.version,sysinfo,,,"16.0-b13",1286907259330
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1286907295023
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1286907295429
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1286907295444
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1286907295444
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1286907295444
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1286907295444
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1286907295444
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1286907295444
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1286907295444
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1286907295444
